                                 PppOpen 0x13DA
                                PppClose 0x13DB
                            PppSetOption 0x13DC
                                PppStart 0x13DD
                                 PppStop 0x13DE
                            PppWaitState 0x13DF
                             PppGetState 0x13E0
                          fcntlsocketSWI 0x13E1
                           getsockoptSWI 0x13E2
                             recvfromSWI 0x13E3
                         selectsocketSWI 0x13E4
                               sendtoSWI 0x13E5
                           setsockoptSWI 0x13E6
                            ngOSGetErrno 0x13E7
                            ngOSSetErrno 0x13E8
                       ngResolvSetOption 0x13E9
                       ngResolvGetOption 0x13EA
                           gethostbyname 0x13EB
                           gethostbyaddr 0x13EC
                      gethostbyaddr_rSWI 0x13ED
                      gethostbyname_rSWI 0x13EE
                            PppIfControl 0x13EF
                    Which_RomBoosterIsIt 0x13F0
                     OS_rtc_WaitEvents32 0x13F1
                                   mount 0x13F2
                                 unmount 0x13F3
                                 opendir 0x13F4
                                 readdir 0x13F5
                                 telldir 0x13F6
                                 seekdir 0x13F7
                               rewinddir 0x13F8
                                closedir 0x13F9
                                   mkdir 0x13FA
                                   rmdir 0x13FB
                                    open 0x13FC
                                   close 0x13FD
                                  unlink 0x13FE
                                    read 0x13FF
                                   write 0x1400
                                   lseek 0x1401
                                    stat 0x1402
                                   fstat 0x1403
                                   chmod 0x1404
                                  fchmod 0x1405
                                 umalloc 0x1406
                                   ufree 0x1407
                                 errno_p 0x1408
                                  rename 0x1409
                               dallocUsb 0x140A
                                 copyUsb 0x140B
                               putcrcUsb 0x140C
                                dfreeUsb 0x140D
                               sallocUsb 0x140E
                         copy_systemeUsb 0x140F
                                 callUsb 0x1410
                                 ddirUsb 0x1411
                                 findUsb 0x1412
                            read_dateUsb 0x1413
                                  fioctl 0x1414
                             PatchDriver 0x1415
                               gotoxydsp 0x1416
                               wherexdsp 0x1417
                               whereydsp 0x1418
                          startupcv20dsp 0x1419
                    defdisplaypatterndsp 0x141A
                          lire_infos_PPR 0x141B
                               PPR_Mount 0x141C
                              ngRouteAdd 0x141D
                           ngRouteDelete 0x141E
                          ngRouteDefault 0x141F
                         WatchdogRefresh 0x1420
                                  fowner 0x1421
                      archive_diagnostic 0x1422
                          PPR_UnMountCam 0x1423
                 NTP_SoftwareActivateRam 0x1424
                            ObjectUnLoad 0x1425
                      TMT_Retrieve_Clock 0x1426
                               input_sim 0x1427
                                swi_hook 0x1428
                           SetNextWakeUp 0x1429
                                urealloc 0x142A
                            EthIfControl 0x142B
                           DhcpSetOption 0x142C
                           DhcpGetOption 0x142D
                               DhcpStart 0x142E
                             DhcpRelease 0x142F
                          FS_StorageSize 0x1430
                 ApplicationUnInitialize 0x1431
                            SystemFioctl 0x1432
                                __ungetc 0x1433
                          SPM_Read_Infos 0x1434
                               SPM_Mount 0x1435
                          SPM_UnMountCam 0x1436
                           SPM_read_date 0x1437
                          SetMorphoPower 0x1438
                       check_application 0x1439
                               dllmalloc 0x143A
                                 dllfree 0x143B
                              dllrealloc 0x143C
                                 Deroute 0x143D
                            StartLltSimu 0x143E
                            vfs_truncate 0x143F
                           vfs_ftruncate 0x1440
                              vfs_statfs 0x1441
                             vfs_fstatfs 0x1442
                               C30_Mount 0x1443
                           CAMSPED_Mount 0x1444
                           CAD30VR_Mount 0x1445
                               P30_Mount 0x1446
                              GPRS_Mount 0x1447
                              SnmpMibAdd 0x1448
                              SnmpTrapTo 0x1449
                                HeapFree 0x144A
                               P40_Mount 0x144B
                             PP30S_Mount 0x144C
                               WifiMount 0x144D
                    PersistentDataUpdate 0x144E
                          FS_AreaGetSize 0x144F
                      FS_AreaGetFreeSize 0x1450
                   FS_AreaGetGarbageSize 0x1451
                           CAD30VT_Mount 0x1452
                              ObjectOpen 0x1453
                             ObjectClose 0x1454
                              ObjectRead 0x1455
                            ObjectRemove 0x1456
                          CAD30USR_Mount 0x1457
                                FS_mkdir 0x1458
                                FS_rmdir 0x1459
                           dallocGeneric 0x145A
                             copyGeneric 0x145B
                           putcrcGeneric 0x145C
                            dfreeGeneric 0x145D
                           sallocGeneric 0x145E
                     copy_systemeGeneric 0x145F
                             callGeneric 0x1460
                             ddirGeneric 0x1461
                             findGeneric 0x1462
                        read_dateGeneric 0x1463
                          ObjectLoadType 0x1464
                              RamGetSize 0x1465
                         ReadDateBooster 0x1466
                            FS_NandRemap 0x1467
                           ObjectGetSize 0x1468
                    ObjectRemoveByFamily 0x1469
                           DllLinkByType 0x146A
                         DllUnlinkByType 0x146B
                              ObjectTell 0x146C
                              ObjectSeek 0x146D
                       NTP_SoftwareCheck 0x146E
                      copytoflashGeneric 0x146F
                           NAT_SetOption 0x1470
                           NAT_GetOption 0x1471
                            Reader_Mount 0x1472
                            Pinpad_Mount 0x1473
                    PppSetDefaultOptions 0x1474
          ApplicationGetCurrentAppliType 0x1475
                                dec_iso1 0x1476
                                dec_iso2 0x1477
                                dec_iso3 0x1478
                             ObjectUnzip 0x1479
